"BrayCurtis_adjKRV","UnweightedUniFrac_adjKRV","WeightedUniFrac_adjKRV","GeneralizedUniFrac_adjKRV","BrayCurtis_regression","UnweightedUniFrac_regression","WeightedUniFrac_regression","GeneralizedUniFrac_regression","BrayCurtis_SKAT","UnweightedUniFrac_SKAT","WeightedUniFrac_SKAT","GeneralizedUniFrac_SKAT"
0.215015654043803,0.427568565206798,0.00233217063536839,0.0408675899931363,0.0334612063863655,0.758869079748484,0.0017313922215726,0.0090854912070178,0.0670425959092178,0.602080057638391,0.00349261977175996,0.00904380192290954
1.11022302462516e-16,0.0895628127168128,3.17961768026009e-10,1.17683640610267e-13,1.57644432739213e-09,0.23414812386363,0.516396353241957,8.12537179497092e-10,9.30845787337641e-11,0.114921339306101,0.57157140091448,4.1949492058623e-11
5.58360035984862e-09,0.43366808661288,8.93100827936699e-06,1.14697756070647e-07,4.68176014692831e-10,0.627015804716114,0.551571771281374,2.01856090148094e-07,2.02519672143353e-08,0.651850308830559,0.22965022471288,7.56450732719571e-07
3.33066907387547e-16,0.47650122854795,3.04426061026319e-08,1.14944186391241e-08,1.58743971694702e-08,0.53049095272613,0.0668029217144729,0.000486137140721291,2.43532437493723e-11,0.833868960033767,0.0186702797170405,4.26222481242355e-06
0.0906861919201066,0.308629955117679,0.454156820332951,0.248327929045485,0.554789805578733,0.0987368926549844,0.533320390103661,0.935570253124641,0.02345880250449,0.0645375527003552,0.711408031259471,0.192925682367175
0.246515915894052,0.0570143789184953,0.607580467749917,0.412148924895717,0.267033022337782,0.808147600559601,0.254849690227296,0.712025137462589,0.0724505912400144,0.579683216331957,0.310503340698276,0.321333138942149
2.13051798425568e-13,0.274854713717625,1.53136664460263e-08,6.29529761653203e-12,2.09500964903894e-11,0.210905283710015,0.0897642747081752,5.87475847369434e-13,2.50916685179611e-10,0.169566376729553,0.260056448370703,6.94114647606293e-12
4.4368286822305e-11,0.212752799314238,4.76320127118512e-07,3.8341019248378e-09,1.06048754606914e-09,0.105764044511525,0.0029617751399025,3.548483596973e-05,3.06773365595696e-09,0.193158394800032,0.00249783354530431,5.55665064789768e-05
3.98570065840431e-14,0.748549077693173,4.98275359861466e-08,4.60288307468915e-09,0.0241808677599481,0.58429217934547,0.934435898983917,0.318207974625565,0.00615334917169719,0.548946266269147,0.396267982303221,0.346362750539585
0.000611612546040585,0.870694572110063,0.00920617185481598,0.0129794372502603,0.365932998865687,0.973997116796402,0.111125286538653,0.162677452293184,0.705169693524797,0.236658963873624,0.305187143252617,0.419959604806776
0.136995014536696,0.175907679440328,0.258124875554989,0.15704617966191,0.888628326242041,0.837702620928414,0.977436828444834,0.913070330382166,0.699018444659482,0.870995525582596,0.265789440420485,0.547819302660314
0.31439747624363,0.191638259097941,0.196633329023763,0.276551761624294,0.607082516155874,0.153999762384523,0.0748722823192327,0.168604035309847,0.591559563927084,0.28288505075266,0.0920773848784234,0.25123003378273
0,0.285101404145128,1.18690390848997e-10,9.10382880192628e-15,5.28027088779604e-09,0.336847020901381,0.910691218172527,1.13466895848969e-06,9.24889125641478e-11,0.241396081354131,0.0984882070507357,1.0479796463958e-07
0.0211758112143604,0.685162532415418,0.0361743277888287,0.181317290645173,0.0177445204271611,0.804374734093606,0.0180425324921296,0.119493960199797,0.0279192103551653,0.616826414217904,0.0413787854122827,0.262576263231463
0,0.00770559042836838,4.62972882253609e-10,1.7874590696465e-13,3.05681732703815e-15,0.149148907794362,0.861599203318172,0.0829816579393803,6.7228636273756e-14,0.182333927291481,0.671701868948985,0.0687277386446551
0.0362594037025784,0.561773743808395,0.0890522686295387,0.110625854443334,0.746467353738762,0.835718308597728,0.937305886407785,0.818555399537138,0.808334079450413,0.788307592786472,0.956019382298784,0.962088078064449
1.48658862997308e-13,0.117916599953199,1.30292815203603e-07,4.17989587386813e-09,8.06247151183125e-11,0.920622376938602,0.00750791386198984,4.55551157705007e-08,3.56703019461384e-10,0.874595405201871,0.00817642212400482,1.87646481131232e-07
0.475489430603855,0.894054985845831,0.768877991493591,0.794901715726157,0.287558092721978,0.572998994688526,0.451681377293058,0.366109038968155,0.088955584006862,0.620210050626637,0.885058502418063,0.701523971401622
1.01174624234091e-12,0.98151657708367,0.000110814973342643,0.000173563719655934,1.25295437679515e-12,0.910544181687736,0.0765370968029154,0.0269572201999153,2.08666998242237e-12,0.72753435076407,0.119640628512464,0.046699255430747
0,0.53538539142235,1.7430501486615e-13,0,1.73196411429337e-16,0.605720581231435,0.146102919181307,8.42920410124586e-14,7.74826181189293e-16,0.830610210808305,0.108118335165192,1.84074941885077e-14
4.37354638249676e-06,0.0890003654273861,7.99536591040706e-05,5.04295521910336e-05,0.104922575763076,0.785859636971396,0.0359722477951308,0.341864095996547,0.012438006466682,0.847750374529326,0.0256300621037993,0.174636631466525
0.0295525460389908,0.314376989519307,0.0533524036845864,0.0790921264947944,0.0102661645785455,0.170626427457444,0.0754453032732067,0.0188002654709399,0.0182347790595175,0.290579194341071,0.100364091276331,0.0302003387878811
1.25991537980319e-07,0.78260161468987,0.00335491902302432,0.00620748184854469,0.000979509077139517,0.395815917820989,0.370043351232945,0.373339347107592,8.34711816555256e-07,0.726934928755814,0.665182809610894,0.000145568754627234
0,0.0743917747465436,4.59584188483575e-08,2.49273934826988e-11,1.4424237775412e-10,0.150169101040707,0.559718317198583,0.00724023344123324,1.18078002190733e-10,0.120498358346621,0.584393019428427,0.0038120495116134
3.82271991838934e-12,0.101800227591756,5.61701143264592e-07,2.19594586958749e-09,6.54079642866532e-10,0.465051311175916,0.104005998066034,0.0234960818981466,1.03011100789433e-09,0.40345096323918,0.0434379816518854,0.0125787532900357
0.0121139044495187,0.357211808816154,0.14597691592943,0.146923988015381,0.00283963253533347,0.0319320201850561,0.458641952019546,0.505740211517651,0.0070505634643615,0.0664235878844135,0.644487505833801,0.455430002218636
2.09781541471443e-07,0.387591542292057,0.000972398456507984,8.25520102539778e-05,1.07943839645989e-07,0.977523561994462,0.0507374544952633,0.00032925607666309,1.77947982693549e-06,0.862834974810367,0.0636183996913238,0.00102603869619644
6.30794427802783e-09,0.902603892944619,7.84396718299663e-05,0.000150074528819655,6.18278470803e-05,0.834968262437442,0.93223748548297,0.0383993219869957,2.98188248049058e-06,0.912951227596968,0.642155478513863,0.00819621167879647
0,0.573824817683336,1.31328660057939e-07,5.54467582958296e-11,3.62906949213652e-09,0.216455508198295,0.411065226748211,0.125577754332901,9.04851155311922e-10,0.194259889522204,0.4565050553675,0.0828452218463027
4.67615612897987e-10,0.758987973623556,5.96884683431442e-05,1.26276179190921e-06,2.52059934740943e-09,0.866891613305762,0.250542050166064,0.147343608792389,3.28137581558862e-10,0.757993168435125,0.565610978480295,0.135393603543298
0.0327146539630895,0.0042575790447279,0.0283541063458732,0.00374162274013423,0.663574940055728,0.673960207007471,0.220433070598474,0.0591084117907181,0.380144648516954,0.882667859521792,0.134511220942054,0.0358585869415041
0.000616764869867947,0.57254329207744,0.022295609328532,0.0127415830754102,0.0431924698290209,0.655880935835092,0.667438718150808,0.317302713890144,0.012244130190135,0.760037306186644,0.906369859924269,0.525859680957935
0.156913448394501,0.0616963788316612,0.168710916426919,0.0493575633746075,0.80037129744209,0.0139842810785134,0.950450752389884,0.91120869845707,0.98257586365478,0.0270494402560247,0.957199529470431,0.923803367938997
1.96473936009411e-08,0.00702980521330565,7.94567871575946e-06,2.74972601355117e-08,3.78814171985057e-06,0.72581553341572,0.399072866585125,0.132596140501632,1.76109683395209e-05,0.862099469358458,0.118720012027375,0.111096827599618
0.0413465711590166,0.228798155856331,0.269966698421037,0.103973730907798,0.0863514454069455,0.608606321811175,0.794710698337665,0.976242541492918,0.113872317831475,0.658695799958037,0.795930722436529,0.983474859388734
0.00218116383296207,0.399583165510783,0.00329261687469995,0.00272298252446712,0.95740590323044,0.501570674789052,0.0677665274747161,0.00343853447022172,0.306692956192526,0.863976691040683,0.15039682899662,0.00544309748712579
2.00583780842756e-05,0.663110083272824,0.0026333778388099,0.000442594483822334,0.0106468462334178,0.191654242919019,0.979488615604878,0.569862793112416,0.00930780870538817,0.518101663141724,0.691013299591935,0.628415291686043
0.106953254598443,0.39661627905192,0.563202511832032,0.477089996837827,0.973067413791405,0.0507017344381897,0.576803118413665,0.855717083007864,0.96809524156901,0.0504122053158855,0.884953683343957,0.993887199377117
0.000336768668821485,0.0790118645154013,0.00357022079474079,0.000180201055066664,0.677513040165636,0.981354256882991,0.31134311001123,0.236985069233699,0.000209940927506702,0.745328629705966,0.306715054585369,0.221171471950625
0,0.601627977781581,2.21652279863704e-08,6.0143001689994e-11,8.91693961600017e-10,0.934531583442438,0.01917523430805,5.8799731954724e-05,5.25485043793609e-10,0.913284852942313,0.0125280897547164,1.74491960641676e-05
4.26016999455214e-11,0.633379632239484,0.000111757502317067,3.82954858857421e-06,1.3566426742007e-11,0.615666474662903,0.251146121884996,0.158040420043136,4.33832051006118e-10,0.597253882028397,0.201901403051541,0.140744939488905
